TIME,TRAINSPEED,MAXSPEED,SIGNALASPECT,ELEVATION,DIRECTION,CONTROLMODE,DISTANCETRAVELLED,THROTTLEPERC,BRAKEPRESSURE,DYNBRAKEPERC,GEARINDEX,
10:00:00,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,000,011,-001,0,
10:00:00,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,027,-001,0,
10:00:01,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,045,-001,0,
10:00:02,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,045,-001,0,
10:00:03,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,045,-001,0,
10:00:04,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,045,-001,0,
10:00:05,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,045,-001,0,
10:00:06,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,045,-001,0,
10:00:07,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,045,-001,0,
10:00:08,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,045,-001,0,
10:00:09,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,045,-001,0,
10:00:10,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,041,-001,0,
10:00:11,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,025,-001,0,
10:00:12,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,020,-001,0,
10:00:13,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,017,-001,0,
10:00:14,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,013,-001,0,
10:00:15,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,011,-001,0,
10:00:16,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,008,-001,0,
10:00:17,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,080,005,-001,0,
10:00:18,0000,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,1,041426E-05,080,003,-001,0,
10:00:19,0000,1,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,03096921,080,002,-001,0,
10:00:20,0000,4,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,1394296,080,001,-001,0,
10:00:21,0000,6,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,3636548,080,001,-001,0,
10:00:22,0001,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,0,7228714,080,000,-001,0,
10:00:23,0001,3,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,1,226309,080,000,-001,0,
10:00:24,0001,7,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,1,907083,070,000,-001,0,
10:00:25,0002,1,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,2,772546,070,000,-001,0,
10:00:26,0002,6,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,3,853596,060,000,-001,0,
10:00:27,0003,1,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,5,120276,060,000,-001,0,
10:00:28,0003,5,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,6,569459,060,000,-001,0,
10:00:29,0004,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,8,259348,060,000,-001,0,
10:00:30,0004,5,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,10,17754,060,000,-001,0,
10:00:31,0005,1,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,12,33324,060,000,-001,0,
10:00:32,0005,7,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,14,73608,060,000,-001,0,
10:00:33,0006,2,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,17,39535,060,000,-001,0,
10:00:34,0006,9,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,20,37095,070,000,-001,0,
10:00:35,0007,5,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,23,58776,080,000,-001,0,
10:00:36,0008,2,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,27,04272,080,000,-001,0,
10:00:37,0008,9,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,30,92654,080,000,-001,0,
10:00:38,0009,6,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,35,00006,080,000,-001,0,
10:00:39,0010,4,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,39,47233,080,000,-001,0,
10:00:40,0011,2,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,44,28721,080,000,-001,0,
10:00:41,0011,9,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,49,44973,080,000,-001,0,
10:00:42,0012,7,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,54,95601,080,000,-001,0,
10:00:43,0013,5,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,60,79697,080,000,-001,0,
10:00:44,0014,2,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,66,98445,080,000,-001,0,
10:00:45,0015,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,73,51243,080,000,-001,0,
10:00:46,0015,7,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,80,36877,080,000,-001,0,
10:00:47,0016,4,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,87,54068,080,000,-001,0,
10:00:48,0017,0,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,95,01782,080,000,-001,0,
10:00:49,0017,7,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,102,7859,080,000,-001,0,
10:00:50,0018,3,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,110,8355,080,000,-001,0,
10:00:51,0018,9,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,119,1527,080,000,-001,0,
10:00:52,0019,5,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,127,7355,080,000,-001,0,
10:00:53,0020,1,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,136,592,080,000,-001,0,
10:00:54,0020,7,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,145,707,080,000,-001,0,
10:00:55,0021,2,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,155,0695,080,000,-001,0,
10:00:56,0021,7,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,164,6738,080,000,-001,0,
10:00:57,0022,3,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,174,5174,080,000,-001,0,
10:00:58,0022,8,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,184,5908,080,000,-001,0,
10:00:59,0023,3,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,194,896,080,000,-001,0,
10:01:00,0023,8,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,205,4276,080,000,-001,0,
10:01:01,0024,3,0090,0,CLEAR_2,00,0,F,AUTO_SIGNAL,216,1855,080,000,-001,0,
