time_s,throttle,brake
0.000,1.0000,0.0000
1.000,1.0000,0.0000
2.000,1.0000,0.0000
3.000,1.0000,0.0000
4.000,1.0000,0.0000
5.000,1.0000,0.0000
6.000,1.0000,0.0000
7.000,1.0000,0.0000
8.000,1.0000,0.0000
9.000,1.0000,0.0000
10.000,1.0000,0.0000
11.000,1.0000,0.0000
12.000,1.0000,0.0000
13.000,1.0000,0.0000
14.000,1.0000,0.0000
15.000,1.0000,0.0000
16.000,1.0000,0.0000
17.000,1.0000,0.0000
18.000,1.0000,0.0000
19.000,1.0000,0.0000
20.000,1.0000,0.0000
21.000,1.0000,0.0000
22.000,1.0000,0.0000
23.000,1.0000,0.0000
24.000,1.0000,0.0000
25.000,1.0000,0.0000
26.000,1.0000,0.0000
27.000,1.0000,0.0000
28.000,1.0000,0.0000
29.000,1.0000,0.0000
30.000,1.0000,0.0000
31.000,1.0000,0.0000
32.000,1.0000,0.0000
33.000,1.0000,0.0000
34.000,1.0000,0.0000
35.000,1.0000,0.0000
36.000,1.0000,0.0000
37.000,1.0000,0.0000
38.000,1.0000,0.0000
39.000,1.0000,0.0000
40.000,1.0000,0.0000
41.000,1.0000,0.0000
42.000,1.0000,0.0000
43.000,1.0000,0.0000
44.000,1.0000,0.0000
45.000,1.0000,0.0000
46.000,1.0000,0.0000
47.000,1.0000,0.0000
48.000,1.0000,0.0000
49.000,1.0000,0.0000
50.000,1.0000,0.0000
51.000,1.0000,0.0000
52.000,1.0000,0.0000
53.000,1.0000,0.0000
54.000,1.0000,0.0000
55.000,1.0000,0.0000
56.000,1.0000,0.0000
57.000,1.0000,0.0000
58.000,1.0000,0.0000
59.000,1.0000,0.0000
60.000,1.0000,0.0000
61.000,1.0000,0.0000
62.000,1.0000,0.0000
63.000,1.0000,0.0000
64.000,1.0000,0.0000
65.000,1.0000,0.0000
66.000,1.0000,0.0000
67.000,1.0000,0.0000
68.000,1.0000,0.0000
69.000,1.0000,0.0000
70.000,1.0000,0.0000
71.000,1.0000,0.0000
72.000,1.0000,0.0000
73.000,1.0000,0.0000
74.000,1.0000,0.0000
75.000,1.0000,0.0000
76.000,1.0000,0.0000
77.000,1.0000,0.0000
78.000,1.0000,0.0000
79.000,1.0000,0.0000
80.000,1.0000,0.0000
81.000,1.0000,0.0000
82.000,1.0000,0.0000
83.000,1.0000,0.0000
84.000,1.0000,0.0000
85.000,1.0000,0.0000
86.000,1.0000,0.0000
87.000,1.0000,0.0000
88.000,1.0000,0.0000
89.000,1.0000,0.0000
90.000,1.0000,0.0000
91.000,1.0000,0.0000
92.000,1.0000,0.0000
93.000,1.0000,0.0000
94.000,1.0000,0.0000
95.000,1.0000,0.0000
96.000,1.0000,0.0000
97.000,1.0000,0.0000
98.000,1.0000,0.0000
99.000,1.0000,0.0000
100.000,0.0000,0.0000
101.000,0.0000,0.5400
102.000,0.0000,0.5400
103.000,0.0000,0.5400
104.000,0.0000,0.5400
105.000,0.0000,0.5400
106.000,0.0000,0.5400
107.000,0.0000,0.5400
108.000,0.0000,0.5400
109.000,0.0000,0.5400
110.000,0.0000,0.5400
111.000,0.0000,0.5400
112.000,0.0000,0.5400
113.000,0.0000,0.5400
114.000,0.0000,0.5400
115.000,0.0000,0.0000
116.000,0.0000,0.0000
117.000,0.0000,0.0000
118.000,0.0000,0.0000
119.000,0.0000,0.0000
120.000,0.0000,0.0000
121.000,0.0000,0.0000
122.000,0.0000,0.0000
123.000,0.0000,0.0000
124.000,0.0000,0.0000
125.000,0.0000,0.0000
126.000,0.0000,0.0000
127.000,0.0000,0.0000
128.000,0.0000,0.0000
129.000,0.0000,0.0000
130.000,0.0000,0.0000
131.000,0.0000,0.0000
132.000,0.0000,0.0000
133.000,0.0000,0.0000
134.000,0.0000,0.0000
135.000,0.0000,0.0000
136.000,0.0000,0.0000
137.000,0.0000,0.0000
138.000,0.0000,0.0000
139.000,0.0000,0.0000
140.000,0.0000,0.0000
141.000,0.0000,0.0000
142.000,0.0000,0.0000
143.000,0.0000,0.0000
144.000,0.0000,0.0000
145.000,0.0000,0.0000
146.000,0.0000,0.0000
147.000,0.0000,0.0000
148.000,0.0000,0.0000
149.000,0.0000,0.0000
150.000,0.0000,0.0000
151.000,0.0000,0.0000
152.000,0.0000,0.0000
153.000,0.0000,0.0000
154.000,0.0000,0.0000
155.000,0.0000,0.0000
156.000,0.0000,0.0000
157.000,0.0000,0.0000
158.000,0.0000,0.0000
159.000,0.0000,0.0000
160.000,0.0000,0.0000
161.000,0.0000,0.0000
162.000,0.0000,0.0000
163.000,0.0000,0.0000
164.000,0.0000,0.0000
165.000,0.0000,0.0000
166.000,0.0000,0.0000
167.000,0.0000,0.0000
168.000,0.0000,0.0000
169.000,0.0000,0.0000
170.000,0.0000,0.0000
171.000,0.0000,0.0000
172.000,0.0000,0.0000
173.000,0.0000,0.0000
174.000,0.0000,0.0000
175.000,0.0000,0.0000
176.000,0.0000,0.0000
177.000,0.0000,0.0000
178.000,0.0000,0.0000
179.000,0.0000,0.0000
180.000,0.0000,0.0000
