time_s,throttle,brake
0.000,1.0000,0.0000
1.000,1.0000,0.0000
2.000,1.0000,0.0000
3.000,1.0000,0.0000
4.000,1.0000,0.0000
5.000,1.0000,0.0000
6.000,1.0000,0.0000
7.000,1.0000,0.0000
8.000,1.0000,0.0000
9.000,1.0000,0.0000
10.000,1.0000,0.0000
11.000,1.0000,0.0000
12.000,1.0000,0.0000
13.000,1.0000,0.0000
14.000,1.0000,0.0000
15.000,1.0000,0.0000
16.000,1.0000,0.0000
17.000,1.0000,0.0000
18.000,1.0000,0.0000
19.000,1.0000,0.0000
20.000,1.0000,0.0000
21.000,1.0000,0.0000
22.000,1.0000,0.0000
23.000,1.0000,0.0000
24.000,1.0000,0.0000
25.000,1.0000,0.0000
26.000,1.0000,0.0000
27.000,1.0000,0.0000
28.000,1.0000,0.0000
29.000,1.0000,0.0000
30.000,1.0000,0.0000
31.000,1.0000,0.0000
32.000,1.0000,0.0000
33.000,1.0000,0.0000
34.000,1.0000,0.0000
35.000,1.0000,0.0000
36.000,1.0000,0.0000
37.000,1.0000,0.0000
38.000,1.0000,0.0000
39.000,1.0000,0.0000
40.000,1.0000,0.0000
41.000,1.0000,0.0000
42.000,1.0000,0.0000
43.000,1.0000,0.0000
44.000,1.0000,0.0000
45.000,1.0000,0.0000
46.000,1.0000,0.0000
47.000,1.0000,0.0000
48.000,1.0000,0.0000
49.000,1.0000,0.0000
50.000,1.0000,0.0000
51.000,1.0000,0.0000
52.000,1.0000,0.0000
53.000,1.0000,0.0000
54.000,1.0000,0.0000
55.000,1.0000,0.0000
56.000,1.0000,0.0000
57.000,1.0000,0.0000
58.000,1.0000,0.0000
59.000,1.0000,0.0000
60.000,1.0000,0.0000
61.000,1.0000,0.0000
62.000,1.0000,0.0000
63.000,1.0000,0.0000
64.000,1.0000,0.0000
65.000,1.0000,0.0000
66.000,1.0000,0.0000
67.000,1.0000,0.0000
68.000,1.0000,0.0000
69.000,1.0000,0.0000
70.000,1.0000,0.0000
71.000,1.0000,0.0000
72.000,1.0000,0.0000
73.000,1.0000,0.0000
74.000,1.0000,0.0000
75.000,1.0000,0.0000
76.000,1.0000,0.0000
77.000,1.0000,0.0000
78.000,1.0000,0.0000
79.000,1.0000,0.0000
80.000,1.0000,0.0000
81.000,1.0000,0.0000
82.000,1.0000,0.0000
83.000,1.0000,0.0000
84.000,1.0000,0.0000
85.000,1.0000,0.0000
86.000,1.0000,0.0000
87.000,1.0000,0.0000
88.000,1.0000,0.0000
89.000,1.0000,0.0000
90.000,1.0000,0.0000
91.000,1.0000,0.0000
92.000,1.0000,0.0000
93.000,1.0000,0.0000
94.000,1.0000,0.0000
95.000,1.0000,0.0000
96.000,1.0000,0.0000
97.000,1.0000,0.0000
98.000,1.0000,0.0000
99.000,1.0000,0.0000
100.000,1.0000,0.0000
101.000,1.0000,0.0000
102.000,1.0000,0.0000
103.000,1.0000,0.0000
104.000,1.0000,0.0000
105.000,1.0000,0.0000
106.000,1.0000,0.0000
107.000,1.0000,0.0000
108.000,1.0000,0.0000
109.000,1.0000,0.0000
110.000,1.0000,0.0000
111.000,1.0000,0.0000
112.000,1.0000,0.0000
113.000,1.0000,0.0000
114.000,1.0000,0.0000
115.000,1.0000,0.0000
116.000,1.0000,0.0000
117.000,1.0000,0.0000
118.000,1.0000,0.0000
119.000,1.0000,0.0000
120.000,1.0000,0.0000
