time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,regen_energy_kwh,fuel_consumption_l,passengers,throttle,brake,brake_f_head_n,brake_f_train_air_n,brake_f_tail_n,diesel_rpm_0,diesel_apparent_0,diesel_f_n_0,diesel_run_up_0,diesel_rpm_1,diesel_apparent_1,diesel_f_n_1,diesel_run_up_1
1.000000,e10783,305.685,0.2173,0.109,0.002949,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,700.0,0.4200,35615.1,1.0000,700.0,0.4200,62113.6,1.0000
2.000000,e10783,306.035,0.4838,0.459,0.014556,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,750.0,0.4600,43536.4,1.0000,750.0,0.4600,75665.4,1.0000
3.000000,e10783,306.674,0.7931,1.098,0.039001,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,800.0,0.5000,50446.6,1.0000,800.0,0.5000,87385.1,1.0000
4.000000,e10783,307.621,1.1022,2.045,0.075278,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,850.0,0.5500,50540.1,1.0000,850.0,0.5500,87273.9,1.0000
5.000000,e10783,308.878,1.4111,3.302,0.123379,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,900.0,0.6000,50627.7,1.0000,900.0,0.6000,87169.7,1.0000
6.000000,e10783,310.442,1.7161,4.866,0.182516,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,950.0,0.6333,50108.9,1.0000,950.0,0.6333,86041.9,1.0000
7.000000,e10783,312.308,2.0168,6.732,0.252144,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1000.0,0.6667,49506.3,1.0000,1000.0,0.6667,84793.0,1.0000
8.000000,e10783,314.473,2.3125,8.897,0.331671,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1050.0,0.7000,48826.5,1.0000,1050.0,0.7000,83434.3,1.0000
9.000000,e10783,316.929,2.5992,11.353,0.419221,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1100.0,0.7333,47441.7,1.0000,1100.0,0.7333,80895.6,1.0000
10.000000,e10783,319.670,2.8833,14.094,0.516172,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1150.0,0.7667,47124.2,1.0000,1150.0,0.7667,80198.2,1.0000
11.000000,e10783,322.697,3.1709,17.121,0.624513,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1200.0,0.8000,47742.7,1.0000,1200.0,0.8000,81103.1,1.0000
12.000000,e10783,326.020,3.4744,20.444,0.749935,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1250.0,0.8333,50411.8,1.0000,1250.0,0.8333,85479.6,1.0000
13.000000,e10783,329.654,3.7954,24.078,0.894850,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1300.0,0.8667,53305.9,1.0000,1300.0,0.8667,90218.1,1.0000
14.000000,e10783,333.620,4.1352,28.044,1.062045,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1350.0,0.9000,56444.2,1.0000,1350.0,0.9000,95348.5,1.0000
15.000000,e10783,337.924,4.4741,32.348,1.243172,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1400.0,0.9333,56395.6,1.0000,1400.0,0.9333,95082.9,1.0000
16.000000,e10783,342.567,4.8120,36.991,1.438129,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1444.7,0.9631,56346.4,1.0000,1444.7,0.9631,94814.6,1.0000
17.000000,e10783,347.548,5.1491,41.972,1.646815,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1478.0,0.9853,56296.7,1.0000,1478.0,0.9853,94543.8,1.0000
18.000000,e10783,352.865,5.4852,47.289,1.869125,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1499.0,0.9993,56246.6,1.0000,1499.0,0.9993,94270.6,1.0000
19.000000,e10783,358.518,5.8203,52.942,2.104956,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,56196.0,1.0000,1500.0,1.0000,93995.0,1.0000
20.000000,e10783,364.504,6.1527,58.928,2.352852,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,55848.8,1.0000,1500.0,1.0000,93225.2,1.0000
21.000000,e10783,370.820,6.4791,65.244,2.610005,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,54980.6,1.0000,1500.0,1.0000,91594.5,1.0000
22.000000,e10783,377.460,6.7997,71.884,2.875826,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,54129.8,1.0000,1500.0,1.0000,90003.3,1.0000
23.000000,e10783,384.417,7.1146,78.841,3.149756,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,53296.0,1.0000,1500.0,1.0000,88450.5,1.0000
24.000000,e10783,391.686,7.4239,86.110,3.431266,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,52478.9,1.0000,1500.0,1.0000,86935.1,1.0000
25.000000,e10783,399.262,7.7278,93.686,3.719850,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,51677.9,1.0000,1500.0,1.0000,85456.0,1.0000
26.000000,e10783,407.139,8.0263,101.563,4.015032,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,50892.8,1.0000,1500.0,1.0000,84012.2,1.0000
