time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,regen_energy_kwh,fuel_consumption_l,passengers,throttle,brake,brake_f_head_n,brake_f_train_air_n,brake_f_tail_n,diesel_rpm_0,diesel_apparent_0,diesel_f_n_0,diesel_run_up_0,diesel_rpm_1,diesel_apparent_1,diesel_f_n_1,diesel_run_up_1
1.000000,e10783,305.687,0.2226,0.111,0.003022,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,700.0,0.4200,35615.1,1.0000,700.0,0.4200,62113.6,1.0000
2.000000,e10783,306.045,0.4928,0.469,0.014857,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,750.0,0.4600,43499.4,1.0000,750.0,0.4600,75601.2,1.0000
3.000000,e10783,306.693,0.8041,1.117,0.039647,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,800.0,0.5000,50372.7,1.0000,800.0,0.5000,87257.8,1.0000
4.000000,e10783,307.652,1.1136,2.076,0.076289,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,850.0,0.5500,50449.8,1.0000,850.0,0.5500,87119.2,1.0000
5.000000,e10783,308.920,1.4219,3.344,0.124725,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,900.0,0.6000,50533.7,1.0000,900.0,0.6000,87009.9,1.0000
6.000000,e10783,310.494,1.7262,4.918,0.184150,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,950.0,0.6333,50018.7,1.0000,950.0,0.6333,85889.5,1.0000
7.000000,e10783,312.370,2.0263,6.794,0.254024,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1000.0,0.6667,49419.8,1.0000,1000.0,0.6667,84647.7,1.0000
8.000000,e10783,314.544,2.3215,8.968,0.333757,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1050.0,0.7000,48743.3,1.0000,1050.0,0.7000,83295.6,1.0000
9.000000,e10783,317.009,2.6076,11.433,0.421474,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1100.0,0.7333,47363.0,1.0000,1100.0,0.7333,80765.1,1.0000
10.000000,e10783,319.759,2.8917,14.183,0.518706,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1150.0,0.7667,47114.8,1.0000,1150.0,0.7667,80186.4,1.0000
11.000000,e10783,322.794,3.1791,17.218,0.627327,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1200.0,0.8000,47733.5,1.0000,1200.0,0.8000,81091.6,1.0000
12.000000,e10783,326.125,3.4826,20.549,0.753050,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1250.0,0.8333,50406.1,1.0000,1250.0,0.8333,85474.2,1.0000
13.000000,e10783,329.768,3.8034,24.192,0.898287,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1300.0,0.8667,53303.7,1.0000,1300.0,0.8667,90218.8,1.0000
14.000000,e10783,333.741,4.1431,28.165,1.065826,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1350.0,0.9000,56445.4,1.0000,1350.0,0.9000,95355.1,1.0000
15.000000,e10783,338.054,4.4818,32.478,1.247290,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1400.0,0.9333,56396.7,1.0000,1400.0,0.9333,95089.3,1.0000
16.000000,e10783,342.704,4.8196,37.128,1.442577,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1444.7,0.9631,56347.5,1.0000,1444.7,0.9631,94820.9,1.0000
17.000000,e10783,347.692,5.1564,42.116,1.651584,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1478.0,0.9853,56297.9,1.0000,1478.0,0.9853,94549.9,1.0000
18.000000,e10783,353.017,5.4925,47.441,1.874212,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1499.0,0.9993,56247.7,1.0000,1499.0,0.9993,94276.5,1.0000
19.000000,e10783,358.677,5.8276,53.101,2.110357,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,56197.1,1.0000,1500.0,1.0000,94000.8,1.0000
20.000000,e10783,364.670,6.1598,59.094,2.358485,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,55831.9,1.0000,1500.0,1.0000,93201.0,1.0000
21.000000,e10783,370.993,6.4862,65.417,2.615857,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,54964.0,1.0000,1500.0,1.0000,91570.8,1.0000
22.000000,e10783,377.640,6.8067,72.064,2.881887,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,54113.4,1.0000,1500.0,1.0000,89980.1,1.0000
23.000000,e10783,384.604,7.1215,79.028,3.156015,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,53279.9,1.0000,1500.0,1.0000,88427.7,1.0000
24.000000,e10783,391.880,7.4305,86.304,3.437709,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,52463.0,1.0000,1500.0,1.0000,86912.8,1.0000
25.000000,e10783,399.462,7.7341,93.886,3.726463,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,51662.7,1.0000,1500.0,1.0000,85434.8,1.0000
26.000000,e10783,407.345,8.0323,101.769,4.021799,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,50878.4,1.0000,1500.0,1.0000,83992.4,1.0000
27.000000,e10783,415.524,8.3253,109.948,4.323263,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,50109.5,1.0000,1500.0,1.0000,82584.4,1.0000
28.000000,e10783,423.993,8.6132,118.417,4.630426,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,49355.7,1.0000,1500.0,1.0000,81209.5,1.0000
29.000000,e10783,432.748,8.8962,127.172,4.942908,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,48620.8,1.0000,1500.0,1.0000,79874.2,1.0000
30.000000,e10783,441.783,9.1745,136.207,5.260369,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,47906.6,1.0000,1500.0,1.0000,78580.6,1.0000
31.000000,e10783,451.095,9.4482,145.519,5.582444,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,47205.7,1.0000,1500.0,1.0000,77316.2,1.0000
32.000000,e10783,460.678,9.7173,155.102,5.908786,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,46517.9,1.0000,1500.0,1.0000,76080.5,1.0000
33.000000,e10783,470.527,9.9818,164.951,6.239063,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,45843.1,1.0000,1500.0,1.0000,74873.0,1.0000
34.000000,e10783,480.639,10.2418,175.063,6.572960,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,45180.9,1.0000,1500.0,1.0000,73692.8,1.0000
35.000000,e10783,491.009,10.4974,185.433,6.910176,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,44531.1,1.0000,1500.0,1.0000,72539.2,1.0000
36.000000,e10783,501.632,10.7486,196.056,7.250423,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,43893.7,1.0000,1500.0,1.0000,71411.9,1.0000
37.000000,e10783,512.504,10.9954,206.928,7.593431,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,43268.6,1.0000,1500.0,1.0000,70310.5,1.0000
38.000000,e10783,523.620,11.2383,218.044,7.938946,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,42655.2,1.0000,1500.0,1.0000,69233.7,1.0000
