time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,regen_energy_kwh,fuel_consumption_l,passengers,throttle,brake,brake_f_head_n,brake_f_train_air_n,brake_f_tail_n
1.000000,e10783,305.685,0.2173,0.109,0.002949,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
2.000000,e10783,306.035,0.4838,0.459,0.014556,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
3.000000,e10783,306.674,0.7931,1.098,0.039001,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
4.000000,e10783,307.621,1.1022,2.045,0.075278,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
5.000000,e10783,308.878,1.4111,3.302,0.123379,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
6.000000,e10783,310.442,1.7161,4.866,0.182516,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
7.000000,e10783,312.308,2.0168,6.732,0.252144,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
8.000000,e10783,314.473,2.3125,8.897,0.331671,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
9.000000,e10783,316.929,2.5992,11.353,0.419221,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
10.000000,e10783,319.670,2.8833,14.094,0.516172,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
11.000000,e10783,322.697,3.1709,17.121,0.624513,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
12.000000,e10783,326.020,3.4744,20.444,0.749935,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
13.000000,e10783,329.654,3.7954,24.078,0.894850,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
14.000000,e10783,333.620,4.1352,28.044,1.062045,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
15.000000,e10783,337.924,4.4741,32.348,1.243172,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
16.000000,e10783,342.567,4.8120,36.991,1.438129,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
17.000000,e10783,347.548,5.1491,41.972,1.646815,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
18.000000,e10783,352.865,5.4852,47.289,1.869125,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
19.000000,e10783,358.518,5.8203,52.942,2.104956,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
20.000000,e10783,364.504,6.1527,58.928,2.352852,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
21.000000,e10783,370.820,6.4791,65.244,2.610005,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
22.000000,e10783,377.460,6.7997,71.884,2.875826,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
23.000000,e10783,384.417,7.1146,78.841,3.149756,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
24.000000,e10783,391.686,7.4239,86.110,3.431266,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
25.000000,e10783,399.262,7.7278,93.686,3.719850,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
26.000000,e10783,407.139,8.0263,101.563,4.015032,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
27.000000,e10783,415.312,8.3196,109.736,4.316355,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
28.000000,e10783,423.775,8.6078,118.199,4.623389,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
29.000000,e10783,432.525,8.8911,126.949,4.935751,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
30.000000,e10783,441.555,9.1695,135.979,5.253099,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0
