time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,regen_energy_kwh,fuel_consumption_l,passengers,throttle,brake
1.000000,e10783,305.638,0.1245,0.062,0.000983,0.000000,0.0000,0,0.5000,0.0000
2.000000,e10783,305.826,0.2516,0.250,0.004010,0.000000,0.0000,0,0.5000,0.0000
3.000000,e10783,306.143,0.3810,0.567,0.009195,0.000000,0.0000,0,0.5000,0.0000
4.000000,e10783,306.590,0.5129,1.014,0.016654,0.000000,0.0000,0,0.5000,0.0000
5.000000,e10783,307.170,0.6471,1.594,0.026503,0.000000,0.0000,0,0.5000,0.0000
6.000000,e10783,307.885,0.7837,2.309,0.038855,0.000000,0.0000,0,0.5000,0.0000
7.000000,e10783,308.738,0.9225,3.162,0.053824,0.000000,0.0000,0,0.5000,0.0000
8.000000,e10783,309.731,1.0636,4.155,0.071524,0.000000,0.0000,0,0.5000,0.0000
9.000000,e10783,310.866,1.2068,5.290,0.092067,0.000000,0.0000,0,0.5000,0.0000
10.000000,e10783,312.146,1.3523,6.570,0.115565,0.000000,0.0000,0,0.5000,0.0000
11.000000,e10783,313.572,1.4998,7.996,0.142129,0.000000,0.0000,0,0.5000,0.0000
12.000000,e10783,315.147,1.6495,9.571,0.171870,0.000000,0.0000,0,0.5000,0.0000
13.000000,e10783,316.872,1.8012,11.296,0.204896,0.000000,0.0000,0,0.5000,0.0000
14.000000,e10783,318.750,1.9549,13.174,0.241318,0.000000,0.0000,0,0.5000,0.0000
15.000000,e10783,320.783,2.1106,15.207,0.281242,0.000000,0.0000,0,0.5000,0.0000
16.000000,e10783,322.972,2.2684,17.396,0.324821,0.000000,0.0000,0,0.5000,0.0000
17.000000,e10783,325.322,2.4306,19.746,0.372872,0.000000,0.0000,0,0.5000,0.0000
18.000000,e10783,327.836,2.5974,22.260,0.425659,0.000000,0.0000,0,0.5000,0.0000
19.000000,e10783,330.519,2.7685,24.943,0.483454,0.000000,0.0000,0,0.5000,0.0000
20.000000,e10783,333.375,2.9441,27.799,0.546534,0.000000,0.0000,0,0.5000,0.0000
21.000000,e10783,336.409,3.1241,30.833,0.615183,0.000000,0.0000,0,0.5000,0.0000
22.000000,e10783,339.625,3.3084,34.049,0.689693,0.000000,0.0000,0,0.5000,0.0000
23.000000,e10783,343.028,3.4971,37.452,0.770357,0.000000,0.0000,0,0.5000,0.0000
24.000000,e10783,346.622,3.6902,41.046,0.857479,0.000000,0.0000,0,0.5000,0.0000
25.000000,e10783,350.411,3.8877,44.835,0.951367,0.000000,0.0000,0,0.5000,0.0000
26.000000,e10783,354.399,4.0894,48.823,1.052335,0.000000,0.0000,0,0.5000,0.0000
27.000000,e10783,358.592,4.2955,53.016,1.160701,0.000000,0.0000,0,0.5000,0.0000
28.000000,e10783,362.992,4.5059,57.416,1.276799,0.000000,0.0000,0,0.5000,0.0000
29.000000,e10783,367.606,4.7206,62.030,1.400967,0.000000,0.0000,0,0.5000,0.0000
30.000000,e10783,372.436,4.9396,66.860,1.533545,0.000000,0.0000,0,0.5000,0.0000
