time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,regen_energy_kwh,fuel_consumption_l,passengers,throttle,brake,brake_f_head_n,brake_f_train_air_n,brake_f_tail_n,diesel_rpm_0,diesel_apparent_0,diesel_f_n_0,diesel_run_up_0,diesel_rpm_1,diesel_apparent_1,diesel_f_n_1,diesel_run_up_1
1.000000,e10783,305.685,0.2176,0.109,0.002957,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,700.0,0.4200,35636.4,1.0000,700.0,0.4200,62228.0,1.0000
2.000000,e10783,306.036,0.4849,0.460,0.014618,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,750.0,0.4600,43585.6,1.0000,750.0,0.4600,75936.8,1.0000
3.000000,e10783,306.676,0.7954,1.100,0.039221,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,800.0,0.5000,50525.5,1.0000,800.0,0.5000,87839.5,1.0000
4.000000,e10783,307.627,1.1060,2.051,0.075794,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,850.0,0.5500,50635.8,1.0000,850.0,0.5500,87855.1,1.0000
5.000000,e10783,308.888,1.4168,3.312,0.124360,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,900.0,0.6000,50736.1,1.0000,900.0,0.6000,87865.9,1.0000
6.000000,e10783,310.459,1.7239,4.883,0.184143,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,950.0,0.6333,50223.3,1.0000,950.0,0.6333,86829.3,1.0000
7.000000,e10783,312.334,2.0267,6.758,0.254611,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1000.0,0.6667,49621.7,1.0000,1000.0,0.6667,85655.3,1.0000
8.000000,e10783,314.510,2.3249,8.934,0.335174,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1050.0,0.7000,48938.3,1.0000,1050.0,0.7000,84355.7,1.0000
9.000000,e10783,316.978,2.6122,11.402,0.423361,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1088.7,0.7258,47256.4,1.0000,1088.7,0.7258,81352.2,1.0000
10.000000,e10783,319.732,2.8952,14.156,0.520374,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1115.7,0.7438,46638.7,1.0000,1115.7,0.7438,80190.7,1.0000
11.000000,e10783,322.768,3.1766,17.192,0.626810,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,46447.4,1.0000,1125.0,0.7500,79765.1,1.0000
12.000000,e10783,326.084,3.4554,20.508,0.742031,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,46069.3,1.0000,1125.0,0.7500,79020.3,1.0000
13.000000,e10783,329.677,3.7314,24.101,0.865784,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,45695.2,1.0000,1125.0,0.7500,78284.8,1.0000
14.000000,e10783,333.545,4.0048,27.969,0.997819,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,45325.1,1.0000,1125.0,0.7500,77558.5,1.0000
15.000000,e10783,337.685,4.2755,32.109,1.137894,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,44958.9,1.0000,1125.0,0.7500,76841.3,1.0000
16.000000,e10783,342.095,4.5436,36.519,1.285773,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,44596.6,1.0000,1125.0,0.7500,76133.2,1.0000
17.000000,e10783,346.771,4.8092,41.195,1.441228,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,44238.3,1.0000,1125.0,0.7500,75434.0,1.0000
18.000000,e10783,351.712,5.0722,46.136,1.604033,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,43883.8,1.0000,1125.0,0.7500,74743.8,1.0000
19.000000,e10783,356.915,5.3326,51.339,1.773971,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,43533.0,1.0000,1125.0,0.7500,74062.3,1.0000
20.000000,e10783,362.376,5.5905,56.800,1.950805,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,43180.3,1.0000,1125.0,0.7500,73379.9,1.0000
21.000000,e10783,368.094,5.8459,62.518,2.134322,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,42830.8,1.0000,1125.0,0.7500,72705.2,1.0000
22.000000,e10783,374.067,6.0989,68.491,2.324319,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,42485.0,1.0000,1125.0,0.7500,72039.4,1.0000
23.000000,e10783,380.291,6.3494,74.715,2.520595,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,42143.1,1.0000,1125.0,0.7500,71382.3,1.0000
24.000000,e10783,386.764,6.5974,81.188,2.722958,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,41804.9,1.0000,1125.0,0.7500,70733.9,1.0000
25.000000,e10783,393.484,6.8430,87.908,2.931218,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,41470.4,1.0000,1125.0,0.7500,70093.9,1.0000
26.000000,e10783,400.449,7.0863,94.873,3.145192,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,41139.5,1.0000,1125.0,0.7500,69462.4,1.0000
27.000000,e10783,407.656,7.3272,102.080,3.364701,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,40812.2,1.0000,1125.0,0.7500,68839.2,1.0000
28.000000,e10783,415.102,7.5658,109.526,3.589572,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,40488.5,1.0000,1125.0,0.7500,68224.3,1.0000
29.000000,e10783,422.786,7.8022,117.210,3.819634,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,40168.3,1.0000,1125.0,0.7500,67617.4,1.0000
30.000000,e10783,430.706,8.0362,125.130,4.054753,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,39856.5,1.0000,1125.0,0.7500,67026.8,1.0000
31.000000,e10783,438.858,8.2681,133.282,4.294776,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,39548.8,1.0000,1125.0,0.7500,66445.4,1.0000
32.000000,e10783,447.241,8.4978,141.665,4.539548,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,39244.5,1.0000,1125.0,0.7500,65871.4,1.0000
33.000000,e10783,455.852,8.7253,150.276,4.788919,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,38943.4,1.0000,1125.0,0.7500,65305.0,1.0000
34.000000,e10783,464.690,8.9507,159.114,5.042743,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,38645.5,1.0000,1125.0,0.7500,64745.8,1.0000
35.000000,e10783,473.752,9.1739,168.176,5.300879,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,38350.7,1.0000,1125.0,0.7500,64194.0,1.0000
36.000000,e10783,483.037,9.3951,177.461,5.563188,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,38059.1,1.0000,1125.0,0.7500,63649.3,1.0000
37.000000,e10783,492.542,9.6142,186.966,5.829536,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,37770.6,1.0000,1125.0,0.7500,63111.7,1.0000
38.000000,e10783,502.264,9.8313,196.688,6.099790,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,37485.1,1.0000,1125.0,0.7500,62581.0,1.0000
39.000000,e10783,512.203,10.0463,206.627,6.373825,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,37202.7,1.0000,1125.0,0.7500,62057.2,1.0000
40.000000,e10783,522.356,10.2594,216.780,6.651515,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,36923.2,1.0000,1125.0,0.7500,61540.2,1.0000
41.000000,e10783,532.721,10.4704,227.145,6.932728,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,36645.3,1.0000,1125.0,0.7500,61027.5,1.0000
42.000000,e10783,543.296,10.6795,237.720,7.217317,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,36366.5,1.0000,1125.0,0.7500,60515.2,1.0000
43.000000,e10783,554.079,10.8866,248.503,7.505165,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,36090.8,1.0000,1125.0,0.7500,60009.6,1.0000
44.000000,e10783,565.068,11.0918,259.492,7.796160,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,35817.9,1.0000,1125.0,0.7500,59510.5,1.0000
45.000000,e10783,576.261,11.2950,270.685,8.090190,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,35548.0,1.0000,1125.0,0.7500,59017.9,1.0000
46.000000,e10783,587.657,11.4963,282.081,8.387150,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,35280.9,1.0000,1125.0,0.7500,58531.6,1.0000
47.000000,e10783,599.253,11.6958,293.677,8.686934,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,35016.6,1.0000,1125.0,0.7500,58051.6,1.0000
48.000000,e10783,611.048,11.8934,305.472,8.989441,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,34755.1,1.0000,1125.0,0.7500,57577.7,1.0000
49.000000,e10783,623.039,12.0891,317.463,9.294572,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,34496.3,1.0000,1125.0,0.7500,57109.9,1.0000
50.000000,e10783,635.225,12.2831,329.649,9.602231,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,34240.2,1.0000,1125.0,0.7500,56648.0,1.0000
51.000000,e10783,647.604,12.4752,342.028,9.912323,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,33986.7,1.0000,1125.0,0.7500,56191.9,1.0000
52.000000,e10783,660.174,12.6645,354.598,10.223212,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,33735.9,1.0000,1125.0,0.7500,55302.3,1.0000
53.000000,e10783,672.932,12.8511,367.356,10.534772,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,33489.0,1.0000,1125.0,0.7500,54427.1,1.0000
54.000000,e10783,685.875,13.0351,380.299,10.846988,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,33249.5,1.0000,1125.0,0.7500,53590.3,1.0000
55.000000,e10783,699.001,13.2165,393.425,11.159834,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,33014.5,1.0000,1125.0,0.7500,52789.4,1.0000
56.000000,e10783,712.307,13.3954,406.731,11.473281,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,32782.9,1.0000,1125.0,0.7500,52021.8,1.0000
57.000000,e10783,725.790,13.5720,420.214,11.787303,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,32554.7,1.0000,1125.0,0.7500,51285.6,1.0000
58.000000,e10783,739.450,13.7462,433.874,12.101874,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,32329.8,1.0000,1125.0,0.7500,50578.8,1.0000
59.000000,e10783,753.282,13.9183,447.706,12.416971,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,32108.0,1.0000,1125.0,0.7500,49899.5,1.0000
60.000000,e10783,767.285,14.0881,461.709,12.732569,0.000000,0.0000,0,0.7500,0.0000,0.0,0.0,0.0,1125.0,0.7500,31889.2,1.0000,1125.0,0.7500,49246.1,1.0000
