time_s,throttle,brake
0.000,0.0000,0.1157
1.000,0.0000,0.1157
2.000,0.1200,0.1157
3.000,0.1800,0.1157
4.000,0.2400,0.1157
5.000,0.2700,0.1157
6.000,0.2700,0.1157
7.000,0.2700,0.1157
8.000,0.2700,0.1157
9.000,0.2700,0.1157
10.000,0.2700,0.1157
11.000,0.2700,0.1157
12.000,0.2700,0.1157
13.000,0.2700,0.1157
14.000,0.2700,0.1157
15.000,0.2700,0.1157
16.000,0.2700,0.1157
17.000,0.2700,0.1736
18.000,0.2700,0.1736
19.000,0.2700,0.1736
20.000,0.2700,0.2397
21.000,0.2700,0.2810
22.000,0.2700,0.2893
23.000,0.2700,0.2893
24.000,0.2700,0.3388
25.000,0.2700,0.3719
26.000,0.2700,0.3802
27.000,0.2700,0.3802
28.000,0.2700,0.3058
29.000,0.2700,0.2397
30.000,0.2700,0.1901
31.000,0.2700,0.1570
32.000,0.2700,0.1240
33.000,0.2700,0.0992
34.000,0.2700,0.0744
35.000,0.2700,0.0579
36.000,0.2700,0.0496
37.000,0.2700,0.0413
38.000,0.2700,0.0331
39.000,0.2700,0.0248
40.000,0.2700,0.0165
41.000,0.2700,0.0165
42.000,0.2700,0.0165
43.000,0.2700,0.0083
44.000,0.2700,0.0083
45.000,0.2700,0.0083
46.000,0.2700,0.0083
47.000,0.2700,0.0083
48.000,0.2700,0.0000
49.000,0.2700,0.0000
50.000,0.2700,0.0000
51.000,0.2700,0.0000
52.000,0.2700,0.0000
53.000,0.2700,0.0000
54.000,0.2700,0.0000
55.000,0.2700,0.0000
56.000,0.2700,0.0000
57.000,0.2700,0.0000
58.000,0.2700,0.0000
59.000,0.2700,0.0000
60.000,0.2700,0.0000
61.000,0.2700,0.0000
62.000,0.2700,0.0000
63.000,0.2700,0.0000
64.000,0.2700,0.0000
65.000,0.2700,0.0000
66.000,0.2700,0.0000
67.000,0.2700,0.0000
68.000,0.2700,0.0000
69.000,0.2700,0.0000
70.000,0.2700,0.0000
71.000,0.2700,0.0000
72.000,0.2700,0.0000
73.000,0.2700,0.0000
74.000,0.2700,0.0000
75.000,0.2700,0.0000
76.000,0.2700,0.0000
77.000,0.2700,0.0000
78.000,0.2700,0.0000
79.000,0.2700,0.0000
80.000,0.2700,0.0000
81.000,0.2700,0.0000
82.000,0.2700,0.0000
83.000,0.2700,0.0000
84.000,0.2700,0.0000
85.000,0.2700,0.0413
86.000,0.2700,0.2479
87.000,0.2700,0.4050
88.000,0.2700,0.5620
89.000,0.2700,0.5785
90.000,0.2700,0.5785
91.000,0.2700,0.5785
92.000,0.2700,0.5785
93.000,0.2700,0.5785
94.000,0.2700,0.5785
95.000,0.2700,0.5785
96.000,0.2700,0.5785
97.000,0.2700,0.5785
98.000,0.2700,0.5785
99.000,0.2700,0.5785
100.000,0.2700,0.5785
