time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,regen_energy_kwh,fuel_consumption_l,passengers,throttle,brake,brake_f_head_n,brake_f_train_air_n,brake_f_tail_n,diesel_rpm_0,diesel_apparent_0,diesel_f_n_0,diesel_run_up_0
1.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.0000,0.1157,41652.0,11570.0,11570.0,325.0,0.0000,0.0,0.0000
2.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.0000,0.1157,41652.0,11570.0,11570.0,325.0,0.0000,0.0,0.0000
3.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.1200,0.1157,41652.0,11570.0,11570.0,329.3,0.0866,0.0,1.0000
4.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.1800,0.1157,41652.0,11570.0,11570.0,339.0,0.1301,0.0,1.0000
5.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2400,0.1157,41652.0,11570.0,11570.0,354.4,0.1812,0.0,1.0000
6.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0,369.0,0.2200,0.0,1.0000
7.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0,377.8,0.2396,0.0,1.0000
8.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0,383.2,0.2516,0.0,1.0000
9.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0,386.5,0.2588,0.0,1.0000
10.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0,388.5,0.2632,0.0,1.0000
11.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0,389.7,0.2659,0.0,1.0000
12.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0,390.4,0.2675,0.0,1.0000
13.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0,390.8,0.2685,0.0,1.0000
14.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0,391.1,0.2691,0.0,1.0000
15.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0,391.2,0.2694,0.0,1.0000
16.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0,391.3,0.2697,0.0,1.0000
17.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0,391.4,0.2698,0.0,1.0000
18.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1736,62496.0,17360.0,17360.0,391.4,0.2699,0.0,1.0000
19.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1736,62496.0,17360.0,17360.0,391.5,0.2699,0.0,1.0000
20.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1736,62496.0,17360.0,17360.0,391.5,0.2700,0.0,1.0000
21.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.2397,86292.0,23970.0,23970.0,391.5,0.2700,0.0,1.0000
22.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.2810,101160.0,28100.0,28100.0,391.5,0.2700,0.0,1.0000
23.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.2893,104148.0,28930.0,28930.0,391.5,0.2700,0.0,1.0000
24.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.2893,104148.0,28930.0,28930.0,391.5,0.2700,0.0,1.0000
25.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.3388,121968.0,33880.0,33880.0,391.5,0.2700,0.0,1.0000
26.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.3719,133884.0,37190.0,37190.0,391.5,0.2700,0.0,1.0000
27.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.3802,136872.0,38020.0,38020.0,391.5,0.2700,0.0,1.0000
28.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.3802,136872.0,38020.0,38020.0,391.5,0.2700,0.0,1.0000
29.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.3058,110088.0,30580.0,30580.0,391.5,0.2700,0.0,1.0000
30.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.2397,86292.0,23970.0,23970.0,391.5,0.2700,0.0,1.0000
31.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.2700,0.1901,68436.0,19010.0,19010.0,391.5,0.2700,0.0,1.0000
