time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,regen_energy_kwh,fuel_consumption_l,passengers,throttle,brake,brake_f_head_n,brake_f_train_air_n,brake_f_tail_n
1.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.0000,0.1157,41652.0,11570.0,11570.0
2.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.0000,0.1157,41652.0,11570.0,11570.0
3.000000,e1017,0.000,0.0000,0.000,0.000000,0.000000,0.0000,0,0.1200,0.1157,41652.0,11570.0,11570.0
4.000000,e1017,0.006,0.0120,0.006,0.000077,0.000000,0.0000,0,0.1800,0.1157,41652.0,11570.0,11570.0
5.000000,e1017,0.023,0.0227,0.023,0.000316,0.000000,0.0000,0,0.2400,0.1157,41652.0,11570.0,11570.0
6.000000,e1017,0.053,0.0361,0.053,0.000827,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0
7.000000,e1017,0.094,0.0457,0.094,0.001671,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0
8.000000,e1017,0.134,0.0355,0.134,0.002588,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0
9.000000,e1017,0.161,0.0189,0.161,0.003235,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0
10.000000,e1017,0.172,0.0021,0.172,0.003492,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0
11.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0
12.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0
13.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0
14.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0
15.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0
16.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0
17.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.1157,41652.0,11570.0,11570.0
18.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.1736,62496.0,17360.0,17360.0
19.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.1736,62496.0,17360.0,17360.0
20.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.1736,62496.0,17360.0,17360.0
21.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.2397,86292.0,23970.0,23970.0
22.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.2810,101160.0,28100.0,28100.0
23.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.2893,104148.0,28930.0,28930.0
24.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.2893,104148.0,28930.0,28930.0
25.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.3388,121968.0,33880.0,33880.0
26.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.3719,133884.0,37190.0,37190.0
27.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.3802,136872.0,38020.0,38020.0
28.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.3802,136872.0,38020.0,38020.0
29.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.3058,110088.0,30580.0,30580.0
30.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.2397,86292.0,23970.0,23970.0
31.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.1901,68436.0,19010.0,19010.0
32.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.1570,56520.0,15700.0,15700.0
33.000000,e1017,0.173,0.0000,0.173,0.003518,0.000000,0.0000,0,0.2700,0.1240,44640.0,12400.0,12400.0
34.000000,e1017,0.177,0.0074,0.177,0.003613,0.000000,0.0000,0,0.2700,0.0992,35712.0,9920.0,9920.0
35.000000,e1017,0.220,0.0785,0.220,0.004704,0.000000,0.0000,0,0.2700,0.0744,26784.0,7440.0,7440.0
36.000000,e1017,0.345,0.1715,0.345,0.007852,0.000000,0.0000,0,0.2700,0.0579,20844.0,5790.0,5790.0
37.000000,e1017,0.574,0.2865,0.574,0.013565,0.000000,0.0000,0,0.2700,0.0496,17856.0,4960.0,4960.0
38.000000,e1017,0.929,0.4232,0.929,0.022315,0.000000,0.0000,0,0.2700,0.0413,14868.0,4130.0,4130.0
39.000000,e1017,1.430,0.5805,1.430,0.034519,0.000000,0.0000,0,0.2700,0.0331,11916.0,3310.0,3310.0
40.000000,e1017,2.100,0.7582,2.100,0.050534,0.000000,0.0000,0,0.2700,0.0248,8928.0,2480.0,2480.0
41.000000,e1017,2.957,0.9558,2.957,0.070663,0.000000,0.0000,0,0.2700,0.0165,5940.0,1650.0,1650.0
42.000000,e1017,4.009,1.1478,4.009,0.094855,0.000000,0.0000,0,0.2700,0.0165,5940.0,1650.0,1650.0
43.000000,e1017,5.250,1.3345,5.250,0.122817,0.000000,0.0000,0,0.2700,0.0165,5940.0,1650.0,1650.0
44.000000,e1017,6.687,1.5405,6.687,0.154542,0.000000,0.0000,0,0.2700,0.0083,2988.0,830.0,830.0
45.000000,e1017,8.328,1.7408,8.328,0.189922,0.000000,0.0000,0,0.2700,0.0083,2988.0,830.0,830.0
46.000000,e1017,10.166,1.9355,10.166,0.228660,0.000000,0.0000,0,0.2700,0.0083,2988.0,830.0,830.0
47.000000,e1017,12.196,2.1248,12.196,0.270477,0.000000,0.0000,0,0.2700,0.0083,2988.0,830.0,830.0
48.000000,e1017,14.413,2.3088,14.413,0.315114,0.000000,0.0000,0,0.2700,0.0083,2988.0,830.0,830.0
49.000000,e1017,16.823,2.5106,16.823,0.362122,0.000000,0.0000,0,0.2700,0.0000,0.0,0.0,0.0
50.000000,e1017,19.430,2.7031,19.430,0.410833,0.000000,0.0000,0,0.2700,0.0000,0.0,0.0,0.0
51.000000,e1017,22.224,2.8867,22.224,0.460869,0.000000,0.0000,0,0.2700,0.0000,0.0,0.0,0.0
52.000000,e1017,25.199,3.0619,25.199,0.511894,0.000000,0.0000,0,0.2700,0.0000,0.0,0.0,0.0
53.000000,e1017,28.344,3.2290,28.344,0.563616,0.000000,0.0000,0,0.2700,0.0000,0.0,0.0,0.0
