time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,regen_energy_kwh,fuel_consumption_l,passengers,throttle,brake
60.100000,e1,0.017,0.3397,0.017,0.001651,0.000000,0.0000,0,1.0000,0.0000
60.200000,e1,0.068,0.6794,0.068,0.006605,0.000000,0.0000,0,1.0000,0.0000
60.300000,e1,0.153,1.0191,0.153,0.014861,0.000000,0.0000,0,1.0000,0.0000
60.400000,e1,0.272,1.3587,0.272,0.026420,0.000000,0.0000,0,1.0000,0.0000
60.500000,e1,0.425,1.6984,0.425,0.041281,0.000000,0.0000,0,1.0000,0.0000
60.600000,e1,0.611,2.0381,0.611,0.059445,0.000000,0.0000,0,1.0000,0.0000
60.700000,e1,0.832,2.3778,0.832,0.080911,0.000000,0.0000,0,1.0000,0.0000
60.800000,e1,1.087,2.7174,1.087,0.105679,0.000000,0.0000,0,1.0000,0.0000
60.900000,e1,1.376,3.0571,1.376,0.133750,0.000000,0.0000,0,1.0000,0.0000
61.000000,e1,1.698,3.3968,1.698,0.165123,0.000000,0.0000,0,1.0000,0.0000
61.100000,e1,2.055,3.7364,2.055,0.199798,0.000000,0.0000,0,1.0000,0.0000
61.200000,e1,2.446,4.0761,2.446,0.237776,0.000000,0.0000,0,1.0000,0.0000
61.300000,e1,2.870,4.4157,2.870,0.279056,0.000000,0.0000,0,1.0000,0.0000
61.400000,e1,3.329,4.7554,3.329,0.323638,0.000000,0.0000,0,1.0000,0.0000
61.500000,e1,3.821,5.0950,3.821,0.371522,0.000000,0.0000,0,1.0000,0.0000
61.600000,e1,4.348,5.4347,4.348,0.422708,0.000000,0.0000,0,1.0000,0.0000
61.700000,e1,4.908,5.7743,4.908,0.477196,0.000000,0.0000,0,1.0000,0.0000
61.800000,e1,5.503,6.1138,5.503,0.534951,0.000000,0.0000,0,1.0000,0.0000
61.900000,e1,6.131,6.4520,6.131,0.595790,0.000000,0.0000,0,1.0000,0.0000
62.000000,e1,6.793,6.7890,6.793,0.659681,0.000000,0.0000,0,1.0000,0.0000
62.100000,e1,7.489,7.1249,7.489,0.726592,0.000000,0.0000,0,1.0000,0.0000
62.200000,e1,8.218,7.4596,8.218,0.796488,0.000000,0.0000,0,1.0000,0.0000
62.300000,e1,8.981,7.7931,8.981,0.869339,0.000000,0.0000,0,1.0000,0.0000
62.400000,e1,9.777,8.1254,9.777,0.945113,0.000000,0.0000,0,1.0000,0.0000
62.500000,e1,10.606,8.4566,10.606,1.023776,0.000000,0.0000,0,1.0000,0.0000
62.600000,e1,11.468,8.7866,11.468,1.105299,0.000000,0.0000,0,1.0000,0.0000
62.700000,e1,12.363,9.1155,12.363,1.189649,0.000000,0.0000,0,1.0000,0.0000
62.800000,e1,13.291,9.4432,13.291,1.276796,0.000000,0.0000,0,1.0000,0.0000
62.900000,e1,14.251,9.7697,14.251,1.366710,0.000000,0.0000,0,1.0000,0.0000
63.000000,e1,15.245,10.0951,15.245,1.459359,0.000000,0.0000,0,1.0000,0.0000
63.100000,e1,16.270,10.4194,16.270,1.554713,0.000000,0.0000,0,1.0000,0.0000
63.200000,e1,17.315,10.4757,17.315,1.574072,0.000000,0.0000,0,0.2000,0.0000
63.300000,e1,18.366,10.5319,18.366,1.593523,0.000000,0.0000,0,0.2000,0.0000
63.400000,e1,19.422,10.5881,19.422,1.613068,0.000000,0.0000,0,0.2000,0.0000
63.500000,e1,20.483,10.6443,20.483,1.632704,0.000000,0.0000,0,0.2000,0.0000
63.600000,e1,21.550,10.7004,21.550,1.652433,0.000000,0.0000,0,0.2000,0.0000
63.700000,e1,22.623,10.7565,22.623,1.672254,0.000000,0.0000,0,0.2000,0.0000
63.800000,e1,23.702,10.8126,23.702,1.692166,0.000000,0.0000,0,0.2000,0.0000
63.900000,e1,24.786,10.8686,24.786,1.712170,0.000000,0.0000,0,0.2000,0.0000
64.000000,e1,25.875,10.9245,25.875,1.732266,0.000000,0.0000,0,0.2000,0.0000
64.100000,e1,26.971,10.9805,26.971,1.752453,0.000000,0.0000,0,0.2000,0.0000
64.200000,e1,28.072,11.0364,28.072,1.772731,0.000000,0.0000,0,0.2000,0.0000
64.300000,e1,29.178,11.0922,29.178,1.793100,0.000000,0.0000,0,0.2000,0.0000
64.400000,e1,30.290,11.1480,30.290,1.813560,0.000000,0.0000,0,0.2000,0.0000
64.500000,e1,31.408,11.2038,31.408,1.834110,0.000000,0.0000,0,0.2000,0.0000
64.600000,e1,32.531,11.2595,32.531,1.854750,0.000000,0.0000,0,0.2000,0.0000
64.700000,e1,33.659,11.3152,33.659,1.875481,0.000000,0.0000,0,0.2000,0.0000
64.800000,e1,34.794,11.3709,34.794,1.896302,0.000000,0.0000,0,0.2000,0.0000
64.900000,e1,35.928,11.3045,35.928,1.896302,0.000000,0.0000,0,0.0000,0.3500
65.000000,e1,37.061,11.3601,37.061,1.917105,0.000000,0.0000,0,0.2000,0.0000
65.100000,e1,38.193,11.2937,38.193,1.917105,0.000000,0.0000,0,0.0000,0.3500
65.200000,e1,39.326,11.3494,39.326,1.937891,0.000000,0.0000,0,0.2000,0.0000
65.300000,e1,40.457,11.2829,40.457,1.937891,0.000000,0.0000,0,0.0000,0.3500
65.400000,e1,41.588,11.3386,41.588,1.958659,0.000000,0.0000,0,0.2000,0.0000
65.500000,e1,42.719,11.2722,42.719,1.958659,0.000000,0.0000,0,0.0000,0.3500
65.600000,e1,43.849,11.3279,43.849,1.979410,0.000000,0.0000,0,0.2000,0.0000
65.700000,e1,44.984,11.3835,44.984,2.000251,0.000000,0.0000,0,0.2000,0.0000
65.800000,e1,46.119,11.3171,46.119,2.000251,0.000000,0.0000,0,0.0000,0.3500
65.900000,e1,47.254,11.3727,47.254,2.021075,0.000000,0.0000,0,0.2000,0.0000
66.000000,e1,48.388,11.3063,48.388,2.021075,0.000000,0.0000,0,0.0000,0.3500
66.100000,e1,49.521,11.3620,49.521,2.041881,0.000000,0.0000,0,0.2000,0.0000
66.200000,e1,50.654,11.2955,50.654,2.041881,0.000000,0.0000,0,0.0000,0.3500
66.300000,e1,51.787,11.3512,51.787,2.062670,0.000000,0.0000,0,0.2000,0.0000
66.400000,e1,52.918,11.2848,52.918,2.062670,0.000000,0.0000,0,0.0000,0.3500
66.500000,e1,54.050,11.3405,54.050,2.083441,0.000000,0.0000,0,0.2000,0.0000
66.600000,e1,55.180,11.2740,55.180,2.083441,0.000000,0.0000,0,0.0000,0.3500
66.700000,e1,56.311,11.3297,56.311,2.104195,0.000000,0.0000,0,0.2000,0.0000
66.800000,e1,57.446,11.3854,57.446,2.125039,0.000000,0.0000,0,0.2000,0.0000
66.900000,e1,58.581,11.3189,58.581,2.125039,0.000000,0.0000,0,0.0000,0.3500
67.000000,e1,59.716,11.3746,59.716,2.145866,0.000000,0.0000,0,0.2000,0.0000
67.100000,e1,60.850,11.3082,60.850,2.145866,0.000000,0.0000,0,0.0000,0.3500
67.200000,e1,61.984,11.3638,61.984,2.166675,0.000000,0.0000,0,0.2000,0.0000
67.300000,e1,63.117,11.2974,63.117,2.166675,0.000000,0.0000,0,0.0000,0.3500
67.400000,e1,64.249,11.3531,64.249,2.187467,0.000000,0.0000,0,0.2000,0.0000
67.500000,e1,65.381,11.2866,65.381,2.187467,0.000000,0.0000,0,0.0000,0.3500
67.600000,e1,66.513,11.3423,66.513,2.208241,0.000000,0.0000,0,0.2000,0.0000
67.700000,e1,67.644,11.2759,67.644,2.208241,0.000000,0.0000,0,0.0000,0.3500
67.800000,e1,68.774,11.3316,68.774,2.228998,0.000000,0.0000,0,0.2000,0.0000
