time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,regen_energy_kwh,fuel_consumption_l,passengers,throttle,brake
0.100000,e1,0.017,0.3390,0.017,0.001648,0.000000,0.0000,0,1.0000,0.0000
0.200000,e1,0.068,0.6780,0.068,0.006591,0.000000,0.0000,0,1.0000,0.0000
0.300000,e1,0.153,1.0170,0.153,0.014831,0.000000,0.0000,0,1.0000,0.0000
0.400000,e1,0.271,1.3559,0.271,0.026365,0.000000,0.0000,0,1.0000,0.0000
0.500000,e1,0.424,1.6949,0.424,0.041196,0.000000,0.0000,0,1.0000,0.0000
0.600000,e1,0.610,2.0338,0.610,0.059322,0.000000,0.0000,0,1.0000,0.0000
0.700000,e1,0.830,2.3728,0.830,0.080743,0.000000,0.0000,0,1.0000,0.0000
0.800000,e1,1.085,2.7117,1.085,0.105459,0.000000,0.0000,0,1.0000,0.0000
0.900000,e1,1.373,3.0507,1.373,0.133471,0.000000,0.0000,0,1.0000,0.0000
1.000000,e1,1.695,3.3896,1.695,0.164778,0.000000,0.0000,0,1.0000,0.0000
1.100000,e1,2.051,3.7285,2.051,0.199380,0.000000,0.0000,0,1.0000,0.0000
1.200000,e1,2.441,4.0674,2.441,0.237277,0.000000,0.0000,0,1.0000,0.0000
1.300000,e1,2.864,4.4063,2.864,0.278469,0.000000,0.0000,0,1.0000,0.0000
1.400000,e1,3.322,4.7452,3.322,0.322956,0.000000,0.0000,0,1.0000,0.0000
1.500000,e1,3.813,5.0841,3.813,0.370738,0.000000,0.0000,0,1.0000,0.0000
1.600000,e1,4.339,5.4230,4.339,0.421814,0.000000,0.0000,0,1.0000,0.0000
1.700000,e1,4.898,5.7619,4.898,0.476185,0.000000,0.0000,0,1.0000,0.0000
1.800000,e1,5.491,6.1006,5.491,0.533823,0.000000,0.0000,0,1.0000,0.0000
1.900000,e1,6.118,6.4381,6.118,0.594539,0.000000,0.0000,0,1.0000,0.0000
2.000000,e1,6.779,6.7744,6.779,0.658302,0.000000,0.0000,0,1.0000,0.0000
2.100000,e1,7.473,7.1095,7.473,0.725078,0.000000,0.0000,0,1.0000,0.0000
2.200000,e1,8.200,7.4435,8.200,0.794835,0.000000,0.0000,0,1.0000,0.0000
2.300000,e1,8.961,7.7763,8.961,0.867541,0.000000,0.0000,0,1.0000,0.0000
2.400000,e1,9.756,8.1079,9.756,0.943163,0.000000,0.0000,0,1.0000,0.0000
2.500000,e1,10.583,8.4383,10.583,1.021670,0.000000,0.0000,0,1.0000,0.0000
2.600000,e1,11.443,8.7676,11.443,1.103032,0.000000,0.0000,0,1.0000,0.0000
2.700000,e1,12.336,9.0957,12.336,1.187215,0.000000,0.0000,0,1.0000,0.0000
2.800000,e1,13.262,9.4226,13.262,1.274191,0.000000,0.0000,0,1.0000,0.0000
2.900000,e1,14.221,9.7484,14.221,1.363927,0.000000,0.0000,0,1.0000,0.0000
3.000000,e1,15.212,10.0730,15.212,1.456394,0.000000,0.0000,0,1.0000,0.0000
3.100000,e1,16.235,10.3965,16.235,1.551562,0.000000,0.0000,0,1.0000,0.0000
3.200000,e1,17.278,10.4520,17.278,1.570882,0.000000,0.0000,0,0.2000,0.0000
3.300000,e1,18.326,10.5074,18.326,1.590294,0.000000,0.0000,0,0.2000,0.0000
3.400000,e1,19.379,10.5628,19.379,1.609797,0.000000,0.0000,0,0.2000,0.0000
3.500000,e1,20.438,10.6181,20.438,1.629391,0.000000,0.0000,0,0.2000,0.0000
3.600000,e1,21.503,10.6734,21.503,1.649076,0.000000,0.0000,0,0.2000,0.0000
3.700000,e1,22.573,10.7287,22.573,1.668851,0.000000,0.0000,0,0.2000,0.0000
3.800000,e1,23.649,10.7839,23.649,1.688718,0.000000,0.0000,0,0.2000,0.0000
3.900000,e1,24.730,10.8391,24.730,1.708674,0.000000,0.0000,0,0.2000,0.0000
4.000000,e1,25.816,10.8942,25.816,1.728721,0.000000,0.0000,0,0.2000,0.0000
4.100000,e1,26.909,10.9493,26.909,1.748858,0.000000,0.0000,0,0.2000,0.0000
4.200000,e1,28.006,11.0044,28.006,1.769084,0.000000,0.0000,0,0.2000,0.0000
4.300000,e1,29.110,11.0594,29.110,1.789400,0.000000,0.0000,0,0.2000,0.0000
4.400000,e1,30.218,11.1143,30.218,1.809806,0.000000,0.0000,0,0.2000,0.0000
4.500000,e1,31.332,11.1693,31.332,1.830300,0.000000,0.0000,0,0.2000,0.0000
4.600000,e1,32.452,11.2242,32.452,1.850884,0.000000,0.0000,0,0.2000,0.0000
4.700000,e1,33.577,11.2790,33.577,1.871557,0.000000,0.0000,0,0.2000,0.0000
4.800000,e1,34.708,11.3338,34.708,1.892318,0.000000,0.0000,0,0.2000,0.0000
4.900000,e1,35.838,11.2666,35.838,1.892318,0.000000,0.0000,0,0.0000,0.3500
5.000000,e1,36.967,11.3214,36.967,1.913059,0.000000,0.0000,0,0.2000,0.0000
5.100000,e1,38.102,11.3762,38.102,1.933889,0.000000,0.0000,0,0.2000,0.0000
5.200000,e1,39.236,11.3089,39.236,1.933889,0.000000,0.0000,0,0.0000,0.3500
5.300000,e1,40.370,11.3637,40.370,1.954699,0.000000,0.0000,0,0.2000,0.0000
5.400000,e1,41.503,11.2964,41.503,1.954699,0.000000,0.0000,0,0.0000,0.3500
5.500000,e1,42.635,11.3512,42.635,1.975488,0.000000,0.0000,0,0.2000,0.0000
5.600000,e1,43.767,11.2839,43.767,1.975488,0.000000,0.0000,0,0.0000,0.3500
5.700000,e1,44.898,11.3387,44.898,1.996257,0.000000,0.0000,0,0.2000,0.0000
5.800000,e1,46.029,11.2714,46.029,1.996257,0.000000,0.0000,0,0.0000,0.3500
5.900000,e1,47.159,11.3262,47.159,2.017006,0.000000,0.0000,0,0.2000,0.0000
6.000000,e1,48.294,11.3810,48.294,2.037844,0.000000,0.0000,0,0.2000,0.0000
6.100000,e1,49.429,11.3137,49.429,2.037844,0.000000,0.0000,0,0.0000,0.3500
6.200000,e1,50.563,11.3685,50.563,2.058661,0.000000,0.0000,0,0.2000,0.0000
6.300000,e1,51.696,11.3012,51.696,2.058661,0.000000,0.0000,0,0.0000,0.3500
6.400000,e1,52.829,11.3560,52.829,2.079458,0.000000,0.0000,0,0.2000,0.0000
6.500000,e1,53.961,11.2887,53.961,2.079458,0.000000,0.0000,0,0.0000,0.3500
6.600000,e1,55.093,11.3435,55.093,2.100235,0.000000,0.0000,0,0.2000,0.0000
6.700000,e1,56.224,11.2762,56.224,2.100235,0.000000,0.0000,0,0.0000,0.3500
6.800000,e1,57.354,11.3311,57.354,2.120992,0.000000,0.0000,0,0.2000,0.0000
6.900000,e1,58.490,11.3858,58.490,2.141838,0.000000,0.0000,0,0.2000,0.0000
7.000000,e1,59.626,11.3185,59.626,2.141838,0.000000,0.0000,0,0.0000,0.3500
7.100000,e1,60.760,11.3733,60.760,2.162663,0.000000,0.0000,0,0.2000,0.0000
7.200000,e1,61.894,11.3060,61.894,2.162663,0.000000,0.0000,0,0.0000,0.3500
7.300000,e1,63.027,11.3608,63.027,2.183468,0.000000,0.0000,0,0.2000,0.0000
7.400000,e1,64.160,11.2935,64.160,2.183468,0.000000,0.0000,0,0.0000,0.3500
7.500000,e1,65.292,11.3483,65.292,2.204252,0.000000,0.0000,0,0.2000,0.0000
7.600000,e1,66.424,11.2811,66.424,2.204252,0.000000,0.0000,0,0.0000,0.3500
7.700000,e1,67.555,11.3359,67.555,2.225017,0.000000,0.0000,0,0.2000,0.0000
7.800000,e1,68.685,11.2686,68.685,2.225017,0.000000,0.0000,0,0.0000,0.3500
7.900000,e1,69.814,11.3234,69.814,2.245762,0.000000,0.0000,0,0.2000,0.0000
8.000000,e1,70.949,11.3782,70.949,2.266595,0.000000,0.0000,0,0.2000,0.0000
8.100000,e1,72.084,11.3109,72.084,2.266595,0.000000,0.0000,0,0.0000,0.3500
8.200000,e1,73.218,11.3657,73.218,2.287407,0.000000,0.0000,0,0.2000,0.0000
8.300000,e1,74.351,11.2984,74.351,2.287407,0.000000,0.0000,0,0.0000,0.3500
8.400000,e1,75.483,11.3532,75.483,2.308200,0.000000,0.0000,0,0.2000,0.0000
8.500000,e1,76.615,11.2859,76.615,2.308200,0.000000,0.0000,0,0.0000,0.3500
8.600000,e1,77.747,11.3407,77.747,2.328972,0.000000,0.0000,0,0.2000,0.0000
8.700000,e1,78.877,11.2734,78.877,2.328972,0.000000,0.0000,0,0.0000,0.3500
8.800000,e1,80.008,11.3282,80.008,2.349725,0.000000,0.0000,0,0.2000,0.0000
8.900000,e1,81.143,11.3830,81.143,2.370565,0.000000,0.0000,0,0.2000,0.0000
9.000000,e1,82.278,11.3157,82.278,2.370565,0.000000,0.0000,0,0.0000,0.3500
9.100000,e1,83.412,11.3705,83.412,2.391386,0.000000,0.0000,0,0.2000,0.0000
9.200000,e1,84.546,11.3032,84.546,2.391386,0.000000,0.0000,0,0.0000,0.3500
9.300000,e1,85.679,11.3580,85.679,2.412186,0.000000,0.0000,0,0.2000,0.0000
9.400000,e1,86.812,11.2907,86.812,2.412186,0.000000,0.0000,0,0.0000,0.3500
9.500000,e1,87.943,11.3455,87.943,2.432967,0.000000,0.0000,0,0.2000,0.0000
9.600000,e1,89.075,11.2782,89.075,2.432967,0.000000,0.0000,0,0.0000,0.3500
9.700000,e1,90.205,11.3331,90.205,2.453727,0.000000,0.0000,0,0.2000,0.0000
9.800000,e1,91.341,11.3878,91.341,2.474575,0.000000,0.0000,0,0.2000,0.0000
9.900000,e1,92.477,11.3205,92.477,2.474575,0.000000,0.0000,0,0.0000,0.3500
10.000000,e1,93.611,11.3753,93.611,2.495404,0.000000,0.0000,0,0.2000,0.0000
10.100000,e1,94.746,11.3080,94.746,2.495404,0.000000,0.0000,0,0.0000,0.3500
10.200000,e1,95.879,11.3628,95.879,2.516212,0.000000,0.0000,0,0.2000,0.0000
10.300000,e1,97.012,11.2955,97.012,2.516212,0.000000,0.0000,0,0.0000,0.3500
10.400000,e1,98.144,11.3503,98.144,2.537000,0.000000,0.0000,0,0.2000,0.0000
10.500000,e1,99.276,11.2830,99.276,2.537000,0.000000,0.0000,0,0.0000,0.3500
10.600000,e1,100.407,11.3379,100.407,2.557768,0.000000,0.0000,0,0.2000,0.0000
10.700000,e1,101.537,11.2706,101.537,2.557768,0.000000,0.0000,0,0.0000,0.3500
10.800000,e1,102.667,11.3254,102.667,2.578515,0.000000,0.0000,0,0.2000,0.0000
10.900000,e1,103.803,11.3802,103.803,2.599352,0.000000,0.0000,0,0.2000,0.0000
11.000000,e1,104.937,11.3129,104.937,2.599352,0.000000,0.0000,0,0.0000,0.3500
11.100000,e1,106.071,11.3677,106.071,2.620168,0.000000,0.0000,0,0.2000,0.0000
11.200000,e1,107.205,11.3004,107.205,2.620168,0.000000,0.0000,0,0.0000,0.3500
11.300000,e1,108.337,11.3552,108.337,2.640963,0.000000,0.0000,0,0.2000,0.0000
11.400000,e1,109.470,11.2879,109.470,2.640963,0.000000,0.0000,0,0.0000,0.3500
11.500000,e1,110.601,11.3427,110.601,2.661739,0.000000,0.0000,0,0.2000,0.0000
11.600000,e1,111.732,11.2754,111.732,2.661739,0.000000,0.0000,0,0.0000,0.3500
11.700000,e1,112.862,11.3302,112.862,2.682495,0.000000,0.0000,0,0.2000,0.0000
11.800000,e1,113.998,11.3850,113.998,2.703339,0.000000,0.0000,0,0.2000,0.0000
11.900000,e1,115.133,11.3177,115.133,2.703339,0.000000,0.0000,0,0.0000,0.3500
12.000000,e1,116.268,11.3725,116.268,2.724162,0.000000,0.0000,0,0.2000,0.0000
12.100000,e1,117.402,11.3052,117.402,2.724162,0.000000,0.0000,0,0.0000,0.3500
